grupo,n_filas,co2_real_medio,co2_pred_medio,mae,rmse,r2,error_relativo_pct
VOLKSWAGEN,59551,131.7600438279794,130.70703125,5.6610353970017195,11.401581222648753,0.8658563648026995,4.296473523029895
RENAULT,53784,123.65520303435967,122.83488464355469,5.588597197900761,12.539035668830515,0.8440331390784404,4.519500239992227
ROYAL ENFIELD,577,83.01138648180242,87.15332794189453,5.58110026870278,7.500212256685635,0.7139671958456707,6.72329484573331
DS,906,109.63024282560707,111.5718994140625,5.502741596819813,7.23115176707745,0.9441901833468231,5.019364597753587
TRS,117,65.69982905982906,67.82069396972656,5.158417880066439,6.0234876671550435,-0.9716452013528702,7.8514936094718975
EBRO,513,112.60233918128655,110.6109390258789,5.094581737852933,5.974816376961625,0.9885605601045623,4.524401335615952
MG,4508,129.94964507542147,127.6379623413086,4.938502398865775,6.781517525776127,0.9752072537782073,3.80032003627214
HYUNDAI,32423,125.79011812602165,125.65054321289062,4.9382909752367175,8.416483641998306,0.8602467192431006,3.9258179011242658
SKODA,13662,121.23634899721856,120.35992431640625,4.750732585776866,7.139478091273738,0.8342353733765223,3.9185711422948404
JAECOO,382,94.62565445026178,90.29666900634766,4.701514149211464,7.2347561779069425,0.9902092304019496,4.968540694936729
CITROEN,48723,120.80833548837303,120.38031005859375,4.6833289030231775,11.200010818948856,0.8170838076373015,3.8766604010316117
VOGE,1609,81.30577998756992,82.10576629638672,4.646585159823345,5.8908508079661175,0.8936619635866743,5.714950598264623
PEUGEOT,56153,116.28475949637597,115.67725372314453,4.543832085967296,9.890338144420364,0.8744789750534758,3.9075043932209406
KIA,31668,124.19532398635847,123.91709899902344,4.5390062176038395,6.485380917699246,0.9291128642786555,3.654731975337816
TOYOTA,43999,112.98901497761312,113.0108871459961,4.367481455502828,10.873335456003538,0.9053546240768545,3.865403602614087
CUPRA,4070,123.63316953316954,123.60592651367188,4.273621921398716,5.377726829737235,0.9906529128309708,3.4566952683779135
HONDA,28306,78.04009015756378,77.66609191894531,4.210819663999848,9.76352615523959,0.9158880366546076,5.395713479441346
WOTTAN,582,65.05183161512028,62.20321273803711,4.158968312004587,7.550922205465076,0.46188510363519075,6.393314698056711
ZONTES,2432,65.58470394736842,66.25321197509766,4.1517373919487,4.780498187316191,0.9134124065086601,6.330344031560255
SEAT,51686,118.67360794025461,118.32347106933594,3.8650504684049696,8.237749085093943,0.755214626133636,3.256874494243743
DACIA,32885,120.91372966398053,120.02033233642578,3.6620874178415015,5.688212679757283,0.836770213220622,3.0286779078095174
QJMOTOR,634,66.82334384858044,67.88692474365234,3.4121922453871285,4.4471551569305365,0.9632325500178343,5.106287786374545
SYM,7060,61.244754107648724,59.14927291870117,3.3823490595701395,10.83939737861882,0.15540430600108257,5.522675548056001
OMODA,855,144.52631578947367,143.23104858398438,3.07860454537018,4.799999021785114,0.9865907345288079,2.1301342447936427
LYNK&CO,392,27.252117346938775,29.630146026611328,2.886061108647561,15.069929287205865,0.37902943380009824,10.590227070821532
BYD,344,15.19186046511628,16.137554168701172,2.2788343096888344,2.6213631799215107,0.8831031089401361,15.000363615249885
