grupo,n_filas,co2_real_medio,co2_pred_medio,mae,rmse,r2,error_relativo_pct
ZAFIRA TOURER,840,130.1940476190476,131.78805541992188,7.386595844087147,9.697723521208271,0.6504295493524364,5.673528075339195
PASSAT,3218,120.21441889372281,122.54769897460938,7.3776337212846475,10.646772211010658,0.6236022018948988,6.137062250250484
S-MAX,272,141.97058823529412,145.26405334472656,7.3384614551768585,10.656650836417873,0.45200125499755583,5.169001232152749
A6 AVANT,234,139.42735042735043,140.94207763671875,7.3169175661527195,12.11337433274918,0.6484922872083665,5.2478351942614365
XC60,2386,139.49036043587594,141.7403564453125,7.31689380859989,10.789550751207928,0.8802887837293089,5.245447632177768
GOLF BLUE MOTION,414,106.35990338164251,112.89189147949219,7.307332292271121,8.662189388412262,-2.986957598354847,6.870382597143607
LEON SPORTSTOURER,195,112.31282051282051,118.18827819824219,7.298003954765124,10.022586819293256,0.8460894106555826,6.497925990499061
MAZDA 2,409,110.60880195599022,116.26194763183594,7.293435439503863,9.647485922331255,-0.1421522804359414,6.593901489327969
BOXER FURGÓN PACK 335,102,183.07843137254903,185.3195037841797,7.2488389856675095,9.267157779435113,0.9309869608460455,3.9594172461073467
NISSAN NV200,850,131.50235294117647,125.3669662475586,7.207275893267464,8.050954143474726,-4.630866137817625,5.480720102773687
BIGSTER,118,112.71186440677967,117.24097442626953,7.2015936253434525,8.100768584841482,0.3978750520686509,6.38938381797389
LIBERTY,213,59.74178403755869,52.59156799316406,7.150216313035275,11.372458441411178,-21.67692733711312,11.968534967988319
TWINGO,238,106.92857142857143,111.02798461914062,7.137551411861131,9.418183607352498,0.3467646696915483,6.6750647806316525
BEETLE,162,131.46913580246914,126.15263366699219,7.134800946270978,9.98418406910759,0.6096717108458463,5.426977900722596
SHARAN,333,149.75675675675674,153.07054138183594,7.077867296006945,9.519556763027287,0.6223484710175687,4.726242374160927
Q5 SPORTBACK,143,170.5174825174825,163.80389404296875,7.053264271129262,8.391691519036787,0.36336347446575235,4.136387757428988
S400 HEV,123,120.0,112.9478988647461,7.052106965848101,7.052926310213922,0.0,5.876755804873417
A5 SPORTBACK,816,128.16789215686273,125.95793151855469,7.041536948260139,9.132808309147334,0.597904590503382,5.493994501869555
PARTNER,457,136.40919037199126,132.42002868652344,7.035480724643565,10.45749455783409,0.2515531398964831,5.157629559604917
C4,463,115.69330453563715,116.7300796508789,7.0108038241095985,14.213517929250838,-0.2322688716552841,6.059818113285935
X4 XDRIVE20D,470,143.9495744680851,139.53201293945312,6.969329730094747,7.935855979530035,0.338960274032973,4.841507698683687
LIBERTY 125,364,60.994505494505496,54.067630767822266,6.9268818111210075,7.088120431612937,-9193.463156386673,11.356566882479266
V40,829,101.72014475271412,106.87156677246094,6.900284153992362,8.760758754835361,0.7586239957962256,6.783596475179266
MAZDA 3,1031,118.78758486905916,120.93989562988281,6.8958898224261755,9.43733913568583,0.44856370397009826,5.80522773489131
CLIO 1.2,190,137.25263157894736,131.30543518066406,6.888867107190584,16.219222498689454,-24.872293989140584,5.019114772475692
MICRA,246,120.34959349593495,120.58563232421875,6.87786666746062,11.065070670124939,0.1090557289957339,5.7149064385439186
